ZONA PORTUARIA               ,SOCIEDAD PORTUARIA,TIPO DE CARGA,EXPORTACION,IMPORTACIÓN,TRANSBORDO,TRANSITO INTERNACIONAL,FLUVIAL,CABOTAJE,MOVILIZACIONES A BORDO,TRANSITORIA,AÑO VIGENCIA,MES VIGENCIA
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,GENERAL,16000,,,,,,,,2018,2
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1649879,,,,,,,,2018,7
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1782338,,,,,,,,2020,5
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,CONTENEDORES,118422,194873,1326601,,,,,,2019,5
GUAJIRA,CERREJON ZONA NORTE S.A.,GENERAL,,1354,,,,,,,2018,10
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GENERAL,65,7231,,,,558,,,2020,11
BARRANCABERMEJA,SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.,GRANEL LIQUIDO,,,,,55005,,,,2018,3
GUAJIRA,CERREJON ZONA NORTE S.A.,GRANEL LIQUIDO,,23191,,,,,,,2019,12
CIENAGA,AMERICAN PORT COMPANY INC,CARBON AL GRANEL,2901489,,,,,,,,2019,6
CARTAGENA,SOCIEDAD PORTUARIA BAVARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,5500,27843,,,,,,,2019,8
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CARBON AL GRANEL,30169,,,,,,,,2021,5
BUENAVENTURA,GRUPO PORTUARIO S.A,CARBON AL GRANEL,48090,,,,,,,,2020,4
BUENAVENTURA,GRUPO PORTUARIO S.A,GRANEL SOLIDO DIFER. DE CARBON,,137541,,,,,,,2021,4
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GRANEL LIQUIDO,17932,13482,,,,,,,2018,5
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,CARBON AL GRANEL,93904,,,,,,,,2020,8
G. MORROSQUILLO,OLEODUCTO CENTRAL SA.S.,GRANEL LIQUIDO,1718054,,,,,,,,2018,9
BUENAVENTURA,GRUPO PORTUARIO S.A,GRANEL SOLIDO DIFER. DE CARBON,,94772,,,,,,,2020,1
CARTAGENA,ECOPETROL S.A.,GRANEL LIQUIDO,231364,76389,,,,246810,,,2020,11
